year,naics,wage
1992,4885,32096.18688841926
1992,4889,22797.392653731054
1992,4911,17629.078032786885
1992,4921,27391.994590639384
1992,4922,17083.229989981075
1992,4931,25714.801720896452
1992,5111,29445.053296804206
1992,5112,55814.66741759748
1992,5121,32033.481555590704
1992,5122,36964.45697244081
1992,5151,32257.535250397847
1992,5152,33645.95233562747
1992,5161,29348.915131257134
1992,5171,43352.005353801076
1992,5172,36857.70729003889
1992,5173,41941.60950242897
1992,5174,42776.03152126473
1992,5175,27154.879246070024
1992,5179,40972.86935220468
1992,5181,37885.2862132792
1992,5182,34956.744906041626
1992,5191,24968.197088992754
1992,5211,32943.579369074585
1992,5221,27847.08999797157
1992,5222,35956.63344898937
1992,5223,34885.152489998865
1992,5231,94363.83804903709
1992,5232,46791.284405971644
1992,5239,69375.27488259002
1992,5241,35493.4668270752
1992,5242,32432.429655168344
1992,5251,35625.99191813477
1992,5259,44722.13481271799
1992,5311,19245.528912491154
1992,5312,25812.847579405516
1992,5313,24856.74498663709
1992,5321,22874.30970689847
1992,5322,14273.673979179754
1992,5323,27357.308189502095
1992,5324,32918.8845313244
1992,5331,42850.32282708342
1992,5411,43142.04298632882
1992,5412,31283.584427967515
1992,5413,39687.826912545715
1992,5414,29480.872843010224
1992,5415,46746.77611924328
1992,5416,45340.03935760266
1992,5417,43911.76629431234
1992,5418,36089.86766817393
1992,5419,20419.8769497499
1992,5511,43708.9348701436
1992,5611,43428.85621525899
1992,5612,28906.680779997027
1992,5613,13938.361580427729
1992,5614,21477.425140065097
1992,5615,21521.885174922063
1992,5616,14371.1789797182
1992,5617,13287.166182504472
1992,5619,22107.085136739868
1992,5621,26828.768511549137
1992,5622,36521.69902221196
1992,5629,30693.29666046283
1992,6111,18446.245800453846
1992,6112,21583.34197483797
1992,6113,27094.349298774145
1992,6114,24102.35909671468
1992,6115,21662.477675707578
1992,6116,12822.959309220993
1992,6117,29709.585001946114
1992,6211,50496.32350279114
1992,6212,24374.01529375183
1992,6213,23541.840575244256
1992,6214,30086.437864924865
1992,6215,32254.4554233477
1992,6216,16190.861088194437
1992,6219,20446.288917683476
1992,6221,26751.76466064184
1992,6222,24310.375172226097
1992,6223,28887.84713566079
1992,6231,14685.209830571446
1992,6232,15169.500672939066
1992,6233,13574.935230349174
1992,6239,16783.87169360492
1992,6241,15513.709506516088
1992,6242,16016.538415247933
1992,6243,14863.975966090793
1992,6244,10144.109014026635
1992,7111,14030.36036418772
1992,7112,41357.18710556662
1992,7113,20868.57190596912
1992,7114,56953.51465116279
1992,7115,80629.58161953728
1992,7121,17218.28257204368
1992,7131,16096.59393677257
1992,7132,15781.654350395816
1992,7139,12114.462686440065
1992,7211,14344.919896697746
1992,7212,12185.523772176546
1992,7213,10091.105588526212
1992,7221,9409.372145533653
1992,7222,8205.62574570442
1992,7223,11417.326056877258
1992,7224,8320.965831217125
1992,8111,18871.497765258857
1992,8112,30090.231427130395
1992,8113,26148.023912074856
1992,8114,19378.190196942476
1992,8121,11447.14423035935
1992,8122,21260.990159987035
1992,8123,13932.729544339682
1992,8129,17001.313214732832
1992,8131,13693.849867487306
1992,8132,23219.853761023314
1992,8133,17596.105263637273
1992,8134,11763.703554465752
1992,8139,23593.408056389133
1992,8141,9925.004893798481
1993,1111,15981.439142332347
1993,1112,13272.39243838002
1993,1113,11808.806559127797
1993,1114,16308.493690447269
1993,1119,14351.198680126394
1993,1121,17489.298344456965
1993,1122,19264.62987580899
1993,1123,18202.397504141358
1993,1124,12735.938787878787
1993,1125,17949.88140417457
1993,1129,16941.243987516063
1993,1131,27143.43909718336
1993,1132,14563.062340316812
1993,1133,21462.340096654
1993,1141,32554.386101557757
1993,1142,12607.300985221675
1993,1151,11893.11400087702
1993,1152,17277.032574201978
1993,1153,21664.79131721756
1993,2111,55503.005053347544
1993,2121,41716.56437622456
1993,2122,42863.42379826977
1993,2123,32721.71670082442
1993,2131,35172.70435806832
1993,2211,46753.16624933677
1993,2212,44981.53707931676
1993,2213,29275.92928528983
1993,2361,24483.190179507277
1993,2362,32120.229016693225
1993,2371,30472.757047972016
1993,2372,36097.9270408897
1993,2373,32605.38138167672
1993,2379,33298.79613157842
